"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","smp_cluster","fame_cluster"
"35",10384,"Petroica rosea","Petroica rosea","Petroica","Rose Robin","Birds","NotListed","NotListed",8.2,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.45,2,1946.666666545,60.3,4169895.1875,26,734.564166268233,"4",5,1.66666666666667,3,0.00085362278383643,"19","15"
"36",10544,"Artamus personatus","Artamus personatus","Artamus","Masked Woodswallow","Birds","NotListed","NotListed",34.6,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.7,1,1977.083333455,2.225,9705121.3125,5,656.507992400155,"1",8,1,NA,0.000330682028574459,"20","14"
"37",10405,"Pachycephala olivacea","Pachycephala olivacea","Pachycephala","Olive Whistler","Birds","NotListed","NotListed",41.2,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.45,2.5,2980.833333455,5,3444150.375,13,724.201280037889,"4",4,1.5,NA,0.000330136877954363,"21","16"
"38",10383,"Petroica rodinogaster","Petroica rodinogaster","Petroica","Pink Robin","Birds","NotListed","NotListed",10.2,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.25,2,1946.666666545,9,7162946.4375,17,708.798466643196,"4",5,0,-1,0.000479092567089739,"22","17"
"39",10546,"Artamus cinereus","Artamus cinereus","Artamus","Black-faced Woodswallow","Birds","NotListed","NotListed",35.6,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.5,2.5,8729.705,3.5,8181040.5,4,605.48584531028,"3",8,0.333333333333333,NA,-8.1940670711299e-06,"23","29"
"40",10306,"Neophema chrysostoma","Neophema chrysostoma","Neophema","Blue-winged Parrot","Birds","NotListed","NotListed",46.1,NA,NA,"Terrestrial","0","0","0","0","0",0,"0","1","Hollows","0","0","0","1","0","1","0","Infloresence",NA,"1","1","0","1","0","1",5,1,7665,4,10106096.625,14,649.172759632881,"1",8,1,NA,0.000145306420833738,"20","23"
"41",10403,"Pachycephala inornata","Pachycephala inornata","Pachycephala","Gilbert's Whistler","Birds","NotListed","NotListed",30.8,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.65,2,4349.58333455,9.0125,2154154.5,11,777.878555627555,"1",8,1.6,NA,0.000168679102806882,"4","4"
"42",10543,"Artamus leucorynchus","Artamus leucoryn","Artamus","White-breasted Woodswallow","Birds","NotListed","NotListed",41.7,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.8,1,2950.416666545,2,4102346.25,13,781.822265667243,"3",8,NA,NA,0.000131004578106961,"9","7"
"43",10143,"Charadrius ruficapillus","Charadrius ruficapillus","Charadrius","Red-capped Plover","Birds","NotListed","NotListed",37.4,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Water","0","0","0","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",2.905,1.5,6935,4.3575,88209,8,1378.06929477306,"1",7,NA,NA,NA,"12","10"
"44",10140,"Charadrius bicinctus","Charadrius bicinctus","Charadrius","Double-banded Plover","Birds","NotListed","NotListed",59.4,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",3,1,2615.833333455,3,146574.5625,9,1511.20622843863,"1",7,0,NA,NA,"12","10"
"45",10307,"Neophema elegans","Neophema elegans","Neophema","Elegant Parrot","Birds","Victoria","Vulnerable",43.4,NA,NA,"Terrestrial","0","0","0","0","0",0,"0","1","Hollows","0","0","0","1","0","1","0","Infloresence",NA,"1","1","0","1","0","1",4.75,1,4380,7,438007.5,19,730.327509454181,"14",8,2.5,NA,NA,"11","20"
"46",10141,"Charadrius leschenaultii","Charadrius leschenaultii","Charadrius","Greater Sand Plover","Birds","Australia","Vulnerable",74.8,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",3,1,2615.833333455,3,103664.8125,7,1364.15363397089,"1",7,NA,-0.428571428571428,NA,"12","10"
"47",10139,"Charadrius mongolus","Charadrius mongolus","Charadrius","Lesser Sand Plover","Birds","Australia","Endangered",64,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",3,1,2159.583333455,3,112569.75,4,1532.43915442043,"1",5,0,NA,NA,"13","11"
"48",10145,"Peltohyas australis","Peltohyas australis","Peltohyas","Inland Dotterel","Birds","Victoria","Vulnerable",83.5,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Water","0","0","0","0","0","1","0","Omnivore",NA,"1","1","0","1","1","0",3,1.5,1946.666666545,4,17035.3125,2,1070.09538471182,"3",6,NA,NA,NA,"25","21"
"49",10954,"Corvus mellori","Corvus mellori","Corvus","Little Raven","Birds","NotListed","NotListed",540.4,NA,NA,"Generalist","0","0","0","0","0",1,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",3.95,1,7957,2.5,16083972.5625,4,662.69689491446,"1",8,NA,NA,6.32681356310637e-05,"15","13"
"50",10930,"Corvus coronoides","Corvus coronoides","Corvus","Australian Raven","Birds","NotListed","NotListed",644.3,NA,NA,"Generalist","0","0","0","0","0",1,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",3.95,2,7957,7.225324676,16269892.875,4,675.812398232997,"1",8,NA,NA,0.000490471931179531,"7","19"
"51",10424,"Coracina novaehollandiae","Coracina novaehollandiae","Coracina","Black-faced Cuckoo-shrike","Birds","NotListed","NotListed",118,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.45,2,4836.25,4.9,15828296.0625,5,715.887437657705,"1",8,0.75,NA,0.000247851068405616,"17","6"
"52",10634,"Manorina melanocephala","Manorina melanocephala","Manorina","Noisy Miner","Birds","NotListed","NotListed",60.2,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",2.85,1.75,2980.833333455,9,11709937.125,10,746.702192489839,"1",8,0.5,NA,0.000528013920422828,"2","2"
"53",10529,"Malurus cyaneus","Malurus cyaneus","Malurus","Superb Fairy-wren","Birds","NotListed","NotListed",10.3,NA,NA,"Terrestrial","0","0","0","0","0",0,"0","1","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.3,1,7665,4,12593059.875,9,719.673631062905,"1",8,2,NA,0.000110380751166511,"16","14"
"54",10631,"Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","Phylidonyris","New Holland Honeyeater","Birds","NotListed","NotListed",20.2,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Infloresence",NA,"1","1","0","1","0","0",2.45,2,4349.58333455,4.9,8850449.8125,11,729.409423431536,"1",8,NA,NA,0.00020439466767303,"3","2"
